,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres,for_testing
301428,4071,1732,4,965605749,M,25,17,33823,"Big Lebowski, The (1998)",Comedy|Crime|Mystery|Thriller,False
895700,2105,188,1,984981514,M,25,1,24060,"Prophecy, The (1995)",Horror,False
852961,4543,2772,2,965109869,M,25,2,11105,Detroit Rock City (1999),Comedy,False
591650,4089,2976,2,965428425,M,25,7,79416,Bringing Out the Dead (1999),Drama|Horror,False
924734,2623,2690,4,973642232,M,56,1,30345,"Ideal Husband, An (1999)",Comedy,False
694032,4425,1350,4,965108718,M,35,7,98607,"Omen, The (1976)",Horror,False
832213,4310,1895,4,966016052,M,25,4,57006,Can't Hardly Wait (1998),Comedy|Drama|Romance,False
173152,5428,2006,4,960086837,F,25,6,28412,"Mask of Zorro, The (1998)",Action|Adventure|Romance,False
432622,2928,2,1,971556097,M,25,2,90068,Jumanji (1995),Adventure|Children's|Fantasy,False
181630,3511,1247,5,966978778,M,50,0,88004,"Graduate, The (1967)",Drama|Romance,False
608249,3491,2273,3,967068097,M,25,16,28542,Rush Hour (1998),Action|Thriller,False
784146,4788,2798,2,963000210,M,35,7,85331,Problem Child (1990),Comedy,False
402816,461,1356,3,976228338,M,50,7,55075,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi,False
81380,5994,3107,4,956857352,M,35,1,32501,Backdraft (1991),Action|Drama,False
400853,5786,3160,5,958144865,M,25,6,53211,Magnolia (1999),Drama,False
429827,889,587,3,975250562,M,45,20,10024,Ghost (1990),Comedy|Romance|Thriller,False
570582,3710,88,4,966274543,M,1,10,02818,Black Sheep (1996),Comedy,False
604945,2666,1396,4,973447797,M,45,16,63128,Sneakers (1992),Crime|Drama|Sci-Fi,False
590162,2109,2694,1,974663683,M,25,16,13090,Big Daddy (1999),Comedy,False
698561,5738,2789,3,958416594,M,25,12,55406,Damien: Omen II (1978),Horror,False
921756,1701,3115,4,984452745,F,25,4,97233,Flawless (1999),Drama,False
24907,3934,1270,4,965703583,M,25,0,44512,Back to the Future (1985),Comedy|Sci-Fi,False
350282,2223,1573,3,975262366,M,25,2,60123,Face/Off (1997),Action|Sci-Fi|Thriller,False
496969,5841,1032,4,957823698,F,35,7,10024,Alice in Wonderland (1951),Animation|Children's|Musical,False
725058,3182,2794,4,968779374,M,25,12,12866,European Vacation (1985),Comedy,False
169256,5519,780,4,959657374,M,35,15,33167,Independence Day (ID4) (1996),Action|Sci-Fi|War,False
337529,955,838,4,975134217,F,50,7,94941,Emma (1996),Comedy|Drama|Romance,False
573843,838,3897,5,975359004,M,50,17,92661,Almost Famous (2000),Comedy|Drama,False
421326,1624,1320,3,974775121,M,25,0,06810,Alien³ (1992),Action|Horror|Sci-Fi|Thriller,False
300512,3557,1449,5,966807478,M,18,5,48185,Waiting for Guffman (1996),Comedy,False
808261,1112,1297,4,974948770,M,18,6,19104,Real Genius (1985),Comedy,False
11888,3082,919,5,969781016,F,35,6,45459,"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical,False
480323,777,1019,1,975437392,M,18,19,87543,"20,000 Leagues Under the Sea (1954)",Adventure|Children's|Fantasy|Sci-Fi,False
216009,714,1036,5,975690749,M,18,4,76013,Die Hard (1988),Action|Thriller,False
288893,6016,1653,3,956959374,M,45,1,37209,Gattaca (1997),Drama|Sci-Fi|Thriller,False
96590,1184,110,5,974853491,F,25,4,92354,Braveheart (1995),Action|Drama|War,False
586130,1793,3354,1,974752635,M,25,4,20008,Mission to Mars (2000),Sci-Fi,False
359669,1125,1476,4,974923398,F,18,4,53715,Private Parts (1997),Comedy|Drama,False
584566,4682,2528,3,963681180,M,25,7,05346,Logan's Run (1976),Action|Adventure|Sci-Fi,False
148092,1988,1597,3,974856622,F,25,1,85224,Conspiracy Theory (1997),Action|Mystery|Romance|Thriller,False
112542,2203,442,4,974604772,M,45,12,53718,Demolition Man (1993),Action|Sci-Fi,False
320457,2321,34,3,974496128,M,25,7,30115,Babe (1995),Children's|Comedy|Drama,False
198395,4140,1049,4,965348464,M,25,0,32112,"Ghost and the Darkness, The (1996)",Action|Adventure,False
86148,4510,3071,3,964989125,M,45,7,92503,Stand and Deliver (1987),Drama,False
339705,2336,266,5,974423242,M,35,18,13146,Legends of the Fall (1994),Drama|Romance|War|Western,False
801163,6003,1208,5,956979165,F,45,17,78722,Apocalypse Now (1979),Drama|War,False
461867,4834,3037,4,979094779,F,45,9,03862,Little Big Man (1970),Comedy|Drama|Western,False
873682,5605,2050,1,959551260,F,18,2,95008,Herbie Goes Bananas (1980),Adventure|Children's|Comedy,False
648255,3693,707,3,966304535,M,25,15,94062,Mulholland Falls (1996),Crime|Film-Noir|Thriller,False
758314,1712,2915,3,980386837,M,25,0,73003,Risky Business (1983),Comedy,False
300490,3391,1449,5,967589337,M,18,4,48135,Waiting for Guffman (1996),Comedy,False
398646,1450,3301,2,974770281,M,18,4,94704,"Whole Nine Yards, The (2000)",Comedy|Crime,False
594994,3841,3005,4,966003211,M,45,18,26101,"Bone Collector, The (1999)",Thriller,False
527009,1645,971,5,988271160,F,18,9,62225,Cat on a Hot Tin Roof (1958),Drama,False
687268,524,1321,4,976164960,M,18,0,91320,"American Werewolf in London, An (1981)",Horror,False
318676,5865,32,3,957653829,M,25,17,95926,Twelve Monkeys (1995),Drama|Sci-Fi,False
223200,509,2947,3,976296687,M,25,2,55125,Goldfinger (1964),Action,False
477100,1224,1377,2,975249844,M,50,13,02125,Batman Returns (1992),Action|Adventure|Comedy|Crime,False
439228,4506,2640,5,964982605,M,50,16,29464,Superman (1978),Action|Adventure|Sci-Fi,False
620912,295,2713,1,976526488,M,18,0,80203,Lake Placid (1999),Horror|Thriller,False
329980,5567,3074,3,959350456,M,50,3,78704,Jeremiah Johnson (1972),Western,False
345389,4482,2100,4,965100870,F,35,1,94044,Splash (1984),Comedy|Fantasy|Romance,False
454050,4506,1283,4,964984990,M,50,16,29464,High Noon (1952),Western,False
301870,299,2390,4,977034691,M,25,12,97370,Little Voice (1998),Comedy,False
748933,3380,3740,3,967675037,M,50,0,20815,Big Trouble in Little China (1986),Action|Comedy,False
662954,192,3397,3,977089042,M,18,1,10977,"Great Muppet Caper, The (1981)",Children's|Comedy,False
116203,3929,3699,2,965707701,M,25,5,80227,Starman (1984),Adventure|Drama|Romance|Sci-Fi,False
890905,3885,1483,3,967650569,M,25,12,92728,Crash (1996),Drama|Thriller,False
201978,402,1378,3,976296428,M,25,11,55427,Young Guns (1988),Action|Comedy|Western,False
267297,1303,2437,4,974961013,M,25,19,94111,Wilde (1997),Drama,False
21304,4687,2797,5,963621345,M,35,14,01746,Big (1988),Comedy|Fantasy,False
695343,3412,1373,4,969589426,M,25,18,85213,Star Trek V: The Final Frontier (1989),Action|Adventure|Sci-Fi,False
785245,1587,3098,4,974737717,F,25,3,30308,"Natural, The (1984)",Drama,False
840062,2102,3649,1,974657234,M,25,11,48825,American Gigolo (1980),Drama,False
653669,3272,2993,4,968205293,M,35,0,08330,Thunderball (1965),Action,False
381085,4675,1735,3,963738664,F,18,4,27514,Great Expectations (1998),Drama|Romance,False
405380,1587,3178,2,974740517,F,25,3,30308,"Hurricane, The (1999)",Drama,False
908766,3367,3185,3,970873332,M,50,16,10025,Snow Falling on Cedars (1999),Drama,False
785769,2072,2942,3,974662310,F,50,12,21133,Flashdance (1983),Drama|Romance,False
204859,4578,1304,5,964390415,M,25,0,02134,Butch Cassidy and the Sundance Kid (1969),Action|Comedy|Western,False
719911,5643,786,4,959649458,F,35,1,84108,Eraser (1996),Action|Thriller,False
618956,4322,1092,3,965251597,F,50,6,75605,Basic Instinct (1992),Mystery|Thriller,False
349837,475,1573,4,976220843,F,25,2,55421,Face/Off (1997),Action|Sci-Fi|Thriller,False
964594,513,3394,2,976218218,M,25,0,55119,Blind Date (1987),Comedy|Romance,False
295492,5340,2318,3,960702827,F,50,3,95032,Happiness (1998),Comedy,False
711671,1127,3450,3,975345031,M,25,0,11788,Grumpy Old Men (1993),Comedy,False
684336,929,1094,4,979528185,M,25,15,53706,"Crying Game, The (1992)",Drama|Romance|War,False
514238,4888,1203,5,962740398,F,56,0,08055,12 Angry Men (1957),Drama,False
721649,5347,1037,3,960667016,M,25,6,53705,"Lawnmower Man, The (1992)",Action|Sci-Fi|Thriller,False
392435,3963,367,4,1014434881,M,50,20,30030,"Mask, The (1994)",Comedy|Crime|Fantasy,False
546328,4526,1230,5,964807699,M,25,20,10012,Annie Hall (1977),Comedy|Romance,False
569274,2777,441,5,973049817,M,18,4,95326,Dazed and Confused (1993),Comedy,False
608413,5099,2273,4,962366827,M,18,0,02780,Rush Hour (1998),Action|Thriller,False
920058,1449,1209,4,976312704,M,35,20,17112,Once Upon a Time in the West (1969),Western,False
90441,4496,3147,4,965860211,M,45,2,06513,"Green Mile, The (1999)",Drama|Thriller,False
981617,284,1646,2,976575287,M,25,12,91910,Rocket Man (1997),Comedy,False
473949,3954,1374,4,965675115,M,18,4,32601,Star Trek: The Wrath of Khan (1982),Action|Adventure|Sci-Fi,False
771097,4662,3614,1,963866643,F,18,4,84109,Honeymoon in Vegas (1992),Comedy|Romance,False
850489,1094,3864,2,974928727,F,18,0,92626,Godzilla 2000 (Gojira ni-sen mireniamu) (1999),Action|Adventure|Sci-Fi,False
468810,5256,2746,2,961304851,M,25,16,30269,Little Shop of Horrors (1986),Comedy|Horror|Musical,False
350778,4351,1573,4,965373942,M,25,12,37919,Face/Off (1997),Action|Sci-Fi|Thriller,False
236000,2522,3793,4,974065061,M,18,11,60614,X-Men (2000),Action|Sci-Fi,False
818481,4381,3019,4,965177658,M,25,4,65804,Drugstore Cowboy (1989),Crime|Drama,False
18273,5268,2791,5,961171110,F,25,2,68502,Airplane! (1980),Comedy,False
993622,1865,2715,1,976584960,F,18,1,94606,"Velocity of Gary, The (1998)",Comedy|Romance,False
793137,4819,3274,5,962920655,M,35,18,17350,Single White Female (1992),Action,False
689134,1291,1258,5,974793141,F,35,0,10011,"Shining, The (1980)",Horror,False
682705,2777,485,3,973052932,M,18,4,95326,Last Action Hero (1993),Action|Comedy,False
276322,3892,1429,4,969754408,M,25,20,91505,Jackie Chan's First Strike (1996),Action,False
583117,3029,60,3,972847651,M,18,4,92037,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,False
708340,1851,3355,3,998443062,M,25,19,59602,"Ninth Gate, The (2000)",Thriller,False
569433,4085,441,4,965454906,F,25,6,79416,Dazed and Confused (1993),Comedy,False
542992,5597,3264,3,959214662,F,18,4,95008,Buffy the Vampire Slayer (1992),Comedy|Horror,False
841062,3682,965,5,966353630,F,50,1,10706,"39 Steps, The (1935)",Thriller,False
782258,877,445,2,975271289,M,25,0,90631,Fatal Instinct (1993),Comedy,False
128444,199,1196,4,977006067,M,18,4,83706,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,False
888210,1306,2232,4,975267616,M,25,3,64068,Cube (1997),Sci-Fi|Thriller,False
404462,2178,1358,5,974609637,M,45,14,85251,Sling Blade (1996),Drama|Thriller,False
954714,3336,3766,1,968043835,M,35,17,93436,Missing in Action (1984),Action|War,False
374666,3851,3250,3,965880055,M,25,12,60657,Alive (1993),Drama,False
990214,5788,2868,2,958523186,M,25,0,92646,Fright Night Part II (1989),Horror,False
529044,3588,2012,4,966661657,M,25,2,90068,Back to the Future Part III (1990),Comedy|Sci-Fi|Western,False
549179,2796,1234,4,997323110,M,25,14,92104,"Sting, The (1973)",Comedy|Crime,False
988880,1377,1330,3,974769015,M,35,16,65270,April Fool's Day (1986),Comedy|Horror,False
522574,3491,2371,3,967064754,M,25,16,28542,Fletch (1985),Comedy,False
393406,2237,223,4,974597267,F,35,6,14905,Clerks (1994),Comedy,False
590093,1701,2694,3,984452534,F,25,4,97233,Big Daddy (1999),Comedy,False
95879,4049,3257,2,965498193,M,45,11,33133,"Bodyguard, The (1992)",Action|Drama|Romance|Thriller,False
617838,1560,2394,1,1013990543,F,25,3,85226,"Prince of Egypt, The (1998)",Animation|Musical,False
793867,256,3364,5,976677452,M,45,16,55076,"Asphalt Jungle, The (1950)",Crime|Film-Noir,False
151459,2841,235,5,984619574,M,50,12,98056,Ed Wood (1994),Comedy|Drama,False
995989,4021,3737,5,965521208,M,50,20,95236,Lonely Are the Brave (1962),Drama|Western,False
460072,5595,329,4,959218167,M,25,20,90027,Star Trek: Generations (1994),Action|Adventure|Sci-Fi,False
8419,1727,1287,4,974706594,M,35,16,50317,Ben-Hur (1959),Action|Adventure|Drama,False
768992,3519,673,3,967573303,F,25,14,11215,Space Jam (1996),Adventure|Animation|Children's|Comedy|Fantasy,False
285342,5008,2959,5,965220858,M,25,20,60615,Fight Club (1999),Drama,False
118370,3956,480,4,965672814,M,25,0,94930-2010,Jurassic Park (1993),Action|Adventure|Sci-Fi,False
709999,2638,2134,4,973707564,M,25,14,06405,Weird Science (1985),Comedy,False
921909,1958,2505,3,1006010768,F,25,1,17055,8MM (1999),Thriller,False
422883,2237,2125,5,974598925,F,35,6,14905,Ever After: A Cinderella Story (1998),Drama|Romance,False
795059,3885,922,5,965811817,M,25,12,92728,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Film-Noir,False
560779,1883,246,4,974877276,F,50,0,94521,Hoop Dreams (1994),Documentary,False
434045,1812,7,5,974844709,F,25,12,48103,Sabrina (1995),Comedy|Romance,False
468340,2402,2746,3,974263425,M,45,17,32024,Little Shop of Horrors (1986),Comedy|Horror|Musical,False
79524,1640,434,3,974717440,M,35,17,95610,Cliffhanger (1993),Action|Adventure|Crime,False
376668,424,3259,2,1016719956,M,25,17,55112,Far and Away (1992),Drama|Romance,False
545174,4384,1302,4,965171883,M,25,0,43623,Field of Dreams (1989),Drama,False
239302,3946,47,5,965751807,F,25,12,22207,Seven (Se7en) (1995),Crime|Thriller,False
574324,2513,3897,5,974071518,M,56,1,37922,Almost Famous (2000),Comedy|Drama,False
773933,3182,2247,2,968770238,M,25,12,12866,Married to the Mob (1988),Comedy,False
928305,570,2092,2,976000207,M,25,4,33314,"Return of Jafar, The (1993)",Animation|Children's|Musical,False
300912,1466,1732,5,974755636,M,18,4,29201,"Big Lebowski, The (1998)",Comedy|Crime|Mystery|Thriller,False
153151,1675,163,3,975243419,F,25,6,97116,Desperado (1995),Action|Romance|Thriller,False
739766,2664,11,4,973457775,M,35,7,52402,"American President, The (1995)",Comedy|Drama|Romance,False
852615,1285,490,3,974832641,M,35,4,98125,Malice (1993),Thriller,False
154802,5625,21,5,959089204,M,25,1,01760,Get Shorty (1995),Action|Comedy|Drama,False
979418,549,761,5,976115813,M,25,6,53217,"Phantom, The (1996)",Adventure,False
962881,3201,3834,3,968622533,M,45,7,35216,Bronco Billy (1980),Adventure|Drama|Romance,False
930337,302,2036,1,976507136,M,18,4,04901,Blank Check (1994),Children's|Comedy,False
216446,2424,1036,5,974688292,M,25,17,95035,Die Hard (1988),Action|Thriller,False
590447,4021,2694,3,965524705,M,50,20,95236,Big Daddy (1999),Comedy,False
332048,1221,3524,3,974842592,M,18,0,19134,Arthur (1981),Comedy|Romance,False
424977,4233,1252,5,965312956,M,35,4,37917,Chinatown (1974),Film-Noir|Mystery|Thriller,False
86729,4879,902,5,962768361,M,25,3,60626,Breakfast at Tiffany's (1961),Drama|Romance,False
424533,1882,1252,4,974775303,M,35,16,92352,Chinatown (1974),Film-Noir|Mystery|Thriller,False
708712,2208,1754,2,974606639,M,25,0,10006,Fallen (1998),Action|Mystery|Thriller,False
957240,5344,668,3,960671570,F,50,1,98177,Pather Panchali (1955),Drama,False
152988,5843,1957,3,957806281,M,35,1,83301,Chariots of Fire (1981),Drama,False
757330,3026,2245,3,970462349,F,18,4,45750,Working Girl (1988),Comedy|Drama,False
